start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733269905.3798208,1733269968.0332162,10.0.0.10,10.0.0.11,40784,671744
1733269905.4023438,1733269984.5407734,10.0.0.11,10.0.0.10,40196,2172928
1733269905.4964235,1733269981.1348844,10.0.0.11,10.0.0.14,51866,1965056
1733269904.771676,1733269954.9967637,10.0.0.11,10.0.0.3,40980,62893056
1733269905.343116,1733269959.6244385,10.0.0.12,10.0.0.14,55758,13339648
1733269905.097094,1733269957.635172,10.0.0.12,10.0.0.15,45302,3632128
1733269905.0974958,1733269957.3564694,10.0.0.12,10.0.0.15,45312,3374080
1733269905.9899843,1733269967.881724,10.0.0.13,10.0.0.11,46720,1182720
1733269905.576759,1733269967.6182895,10.0.0.13,10.0.0.14,55224,1782784
1733269905.1624143,1733269962.4990196,10.0.0.13,10.0.0.6,36892,1240064
1733269905.57639,1733269968.0692563,10.0.0.13,10.0.0.8,41688,1894400
1733269905.8551302,1733269969.5816867,10.0.0.14,10.0.0.15,42390,644096
1733269905.576744,1733269967.3053937,10.0.0.14,10.0.0.19,36228,640000
1733269905.581419,1733269971.3159518,10.0.0.14,10.0.0.19,36234,759808
1733269905.402313,1733269971.9070358,10.0.0.14,10.0.0.1,43458,825344
1733269905.4986453,1733269966.3948452,10.0.0.14,10.0.0.20,51996,18499584
1733269905.5834215,1733269970.3809671,10.0.0.14,10.0.0.7,52816,729088
1733269904.77285,1733269956.12957,10.0.0.15,10.0.0.11,60696,18607104
1733269905.0053082,1733269955.9586396,10.0.0.15,10.0.0.12,55310,29142016
1733269905.1567795,1733269963.9714198,10.0.0.16,10.0.0.10,59356,21934080
1733269905.5156143,1733269973.8918524,10.0.0.16,10.0.0.2,47000,629760
1733269905.140124,1733269979.347272,10.0.0.16,10.0.0.2,47016,731136
1733269905.6696146,1733269970.8885317,10.0.0.18,10.0.0.13,35184,1281024
1733269904.797303,1733269956.8999057,10.0.0.18,10.0.0.14,40784,43372544
1733269907.03077,1733269971.0731153,10.0.0.18,10.0.0.19,37294,598016
1733269904.8008056,1733269956.631658,10.0.0.18,10.0.0.2,40962,42165248
1733269904.7763774,1733269955.5765772,10.0.0.19,10.0.0.15,53162,74295296
1733269906.4937696,1733269971.5849466,10.0.0.19,10.0.0.17,40746,1773568
1733269905.7687407,1733269971.3135397,10.0.0.19,10.0.0.1,40840,1640448
1733269905.5765865,1733269968.339713,10.0.0.1,10.0.0.15,60656,1036288
1733269905.1138701,1733269960.9713745,10.0.0.20,10.0.0.11,51342,4848640
1733269905.39963,1733269960.4606483,10.0.0.20,10.0.0.11,51354,4649984
1733269904.9848876,1733269967.472585,10.0.0.20,10.0.0.13,51582,50608128
1733269905.2619343,1733269962.365158,10.0.0.20,10.0.0.7,50094,18011136
1733269905.9367774,1733269969.2057436,10.0.0.2,10.0.0.5,54364,785408
1733269905.987447,1733269985.6447468,10.0.0.3,10.0.0.18,57400,2244608
1733269906.3606157,1733269974.2165656,10.0.0.3,10.0.0.2,51554,589824
1733269905.7525625,1733269974.242272,10.0.0.3,10.0.0.2,51568,598016
1733269905.6661882,1733269981.080933,10.0.0.3,10.0.0.6,36962,2395136
1733269905.4882493,1733269975.2054703,10.0.0.3,10.0.0.6,36972,2362368
1733269905.5583932,1733269970.9654832,10.0.0.4,10.0.0.17,37124,1714176
1733269905.5705352,1733269971.4268234,10.0.0.4,10.0.0.17,37126,1725440
1733269908.0537827,1733269959.3816116,10.0.0.4,10.0.0.3,60250,2289664
1733269905.296929,1733269956.5001566,10.0.0.4,10.0.0.8,38176,79585280
1733269905.647402,1733269988.0937738,10.0.0.5,10.0.0.14,56364,5701632
1733269904.532153,1733269954.9242532,10.0.0.5,10.0.0.1,40418,65920000
1733269906.3320737,1733269968.6971838,10.0.0.5,10.0.0.3,34854,1388544
1733269906.1683989,1733269971.9534633,10.0.0.6,10.0.0.19,36862,816128
1733269905.992613,1733269967.7127993,10.0.0.6,10.0.0.9,51080,747520
1733269904.8007188,1733269955.7668192,10.0.0.7,10.0.0.11,33746,29713408
1733269906.200455,1733269973.3592765,10.0.0.7,10.0.0.18,59280,583680
1733269907.1964576,1733269974.7887216,10.0.0.7,10.0.0.2,53448,644096
1733269907.0309594,1733269971.5851264,10.0.0.7,10.0.0.9,55018,2039808
1733269905.786985,1733269956.6034472,10.0.0.8,10.0.0.11,47896,9516032
1733269905.3205605,1733269978.9795365,10.0.0.8,10.0.0.14,60122,735232
1733269905.3502648,1733269965.405556,10.0.0.9,10.0.0.16,52918,35333120
1733269905.3962705,1733269966.6123645,10.0.0.9,10.0.0.20,34860,32754688
1733269905.5123875,1733269971.0414345,10.0.0.9,10.0.0.2,60346,6404096
