start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733277189.3433504,1733277241.1093225,10.0.0.10,10.0.0.5,35010,5490688
1733277188.8537323,1733277240.9802542,10.0.0.10,10.0.0.6,54334,3362816
1733277188.8273427,1733277241.1228673,10.0.0.10,10.0.0.6,54344,3414016
1733277188.7891924,1733277241.0934105,10.0.0.10,10.0.0.6,54354,71775232
1733277189.2151725,1733277241.0859835,10.0.0.1,10.0.0.4,34206,6567936
1733277189.2164025,1733277240.7437823,10.0.0.1,10.0.0.4,34220,74813440
1733277188.9572792,1733277241.1551893,10.0.0.1,10.0.0.9,56848,4929536
1733277189.2753177,1733277243.3663514,10.0.0.2,10.0.0.10,48136,3513344
1733277189.0557103,1733277239.827519,10.0.0.2,10.0.0.3,47336,7250944
1733277189.3105068,1733277240.6328673,10.0.0.2,10.0.0.5,44224,13755392
1733277189.3370645,1733277240.7117622,10.0.0.2,10.0.0.9,52476,22495232
1733277189.336452,1733277240.7398279,10.0.0.2,10.0.0.9,52480,22425600
1733277189.0595284,1733277239.7896929,10.0.0.3,10.0.0.2,44450,54995968
1733277189.325167,1733277240.2605882,10.0.0.3,10.0.0.5,45538,17669120
1733277189.027218,1733277241.0022762,10.0.0.5,10.0.0.7,39942,82003968
1733277189.0580792,1733277240.6513968,10.0.0.7,10.0.0.5,49774,33608704
1733277189.343843,1733277243.1173112,10.0.0.8,10.0.0.10,50928,43226112
1733277189.3643572,1733277241.7571337,10.0.0.8,10.0.0.1,42316,33419264
1733277189.4505515,1733277241.4415052,10.0.0.8,10.0.0.7,33102,2882560
1733277188.9571202,1733277240.3258076,10.0.0.9,10.0.0.1,33352,3323904
1733277188.799086,1733277239.7942913,10.0.0.9,10.0.0.3,45508,70391808
1733277189.217295,1733277240.520745,10.0.0.9,10.0.0.6,54372,2217984
1733277189.3349814,1733277240.6255815,10.0.0.9,10.0.0.6,54388,2217984
1733277188.9574656,1733277241.059115,10.0.0.9,10.0.0.7,35078,1824768
1733277189.3737328,1733277239.9846404,10.0.0.9,10.0.0.8,45056,3283968
