start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733270219.8786469,1733270272.8004642,10.0.0.10,10.0.0.14,59360,1681408
1733270219.812804,1733270274.5331044,10.0.0.10,10.0.0.15,34162,24939520
1733270221.915055,1733270277.1622095,10.0.0.10,10.0.0.17,59894,779264
1733270219.824298,1733270272.4973683,10.0.0.10,10.0.0.18,47966,38028288
1733270221.7234726,1733270276.557127,10.0.0.10,10.0.0.1,49414,709632
1733270219.5587204,1733270275.0156858,10.0.0.10,10.0.0.7,56564,25823232
1733270219.8415706,1733270278.2256675,10.0.0.11,10.0.0.14,50904,1523712
1733270220.6638238,1733270276.6524959,10.0.0.11,10.0.0.1,56558,1353728
1733270219.8861935,1733270276.9568572,10.0.0.11,10.0.0.20,39596,1265664
1733270219.903439,1733270278.8483932,10.0.0.11,10.0.0.2,36160,1819648
1733270222.105482,1733270274.7915397,10.0.0.12,10.0.0.11,46462,1401856
1733270222.105747,1733270275.6064274,10.0.0.12,10.0.0.11,46476,1531904
1733270220.1803308,1733270274.1584423,10.0.0.12,10.0.0.13,45544,2768896
1733270219.6024039,1733270274.4005175,10.0.0.12,10.0.0.17,54390,3590144
1733270222.3976943,1733270278.2641828,10.0.0.12,10.0.0.18,51642,756736
1733270219.388562,1733270270.1393545,10.0.0.12,10.0.0.20,42098,19084288
1733270221.872462,1733270278.428908,10.0.0.13,10.0.0.10,54588,738304
1733270221.3346992,1733270273.5000324,10.0.0.13,10.0.0.11,58864,2076672
1733270219.853948,1733270273.6692715,10.0.0.13,10.0.0.16,40702,3031040
1733270219.642,1733270274.1284883,10.0.0.13,10.0.0.20,48832,4171776
1733270219.6645343,1733270274.0960138,10.0.0.13,10.0.0.20,48844,4174848
1733270220.0513616,1733270274.999654,10.0.0.13,10.0.0.3,57592,2452480
1733270219.520197,1733270272.4689648,10.0.0.13,10.0.0.9,53868,32957440
1733270219.9828742,1733270273.3105245,10.0.0.13,10.0.0.9,53882,34211840
1733270221.7462373,1733270276.7203012,10.0.0.14,10.0.0.13,43764,1053696
1733270220.987095,1733270277.4216616,10.0.0.14,10.0.0.20,38948,911360
1733270220.8114734,1733270276.857176,10.0.0.15,10.0.0.1,47232,1421312
1733270219.5591998,1733270275.3647969,10.0.0.15,10.0.0.8,59062,20024320
1733270220.9201775,1733270276.0986834,10.0.0.15,10.0.0.9,36118,881664
1733270219.841006,1733270273.9892159,10.0.0.16,10.0.0.13,41880,2796544
1733270220.764754,1733270278.3372412,10.0.0.16,10.0.0.18,57406,753664
1733270220.7662535,1733270277.2143688,10.0.0.16,10.0.0.18,57408,702464
1733270219.3182921,1733270270.1042626,10.0.0.16,10.0.0.20,37316,19279872
1733270219.3555944,1733270269.783504,10.0.0.16,10.0.0.20,37328,18727936
1733270220.5844102,1733270278.7535214,10.0.0.16,10.0.0.2,56104,814080
1733270219.8003356,1733270274.1764662,10.0.0.16,10.0.0.9,60842,1378304
1733270221.9279213,1733270273.3152921,10.0.0.17,10.0.0.11,58700,3555328
