start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733267829.1945772,1733267881.8343084,10.0.0.10,10.0.0.12,34792,9210880
1733267829.0554688,1733267879.4663258,10.0.0.10,10.0.0.16,34788,3097600
1733267829.2937481,1733267880.718952,10.0.0.10,10.0.0.7,43718,3270656
1733267829.0882204,1733267885.7195005,10.0.0.11,10.0.0.4,48174,10809344
1733267828.520186,1733267879.408244,10.0.0.12,10.0.0.16,50352,5905408
1733267829.275345,1733267880.2193813,10.0.0.12,10.0.0.17,43632,5772288
1733267829.1303098,1733267880.038479,10.0.0.12,10.0.0.2,35644,4527104
1733267829.2769668,1733267880.2924964,10.0.0.12,10.0.0.9,32876,5791744
1733267828.8936574,1733267880.9843185,10.0.0.13,10.0.0.18,51258,3224576
1733267829.042245,1733267884.9162736,10.0.0.13,10.0.0.3,35318,6211584
1733267828.522978,1733267878.913662,10.0.0.14,10.0.0.10,49620,26399744
1733267829.6065888,1733267880.9118035,10.0.0.14,10.0.0.13,39552,2157568
1733267829.2841523,1733267880.5394886,10.0.0.14,10.0.0.16,33726,2176000
1733267828.5733778,1733267879.1338255,10.0.0.14,10.0.0.2,44556,25351168
1733267829.4795618,1733267880.5177991,10.0.0.14,10.0.0.8,45832,10633216
1733267829.1634548,1733267885.3522582,10.0.0.15,10.0.0.12,41028,2623488
1733267828.746765,1733267883.1718457,10.0.0.15,10.0.0.1,33604,31910912
1733267829.2746444,1733267880.2863173,10.0.0.16,10.0.0.17,46570,5599232
1733267829.1724386,1733267894.6407456,10.0.0.16,10.0.0.7,49472,13449216
1733267828.8673456,1733267890.5702305,10.0.0.17,10.0.0.3,48954,7121920
1733267829.02073,1733267880.1099217,10.0.0.18,10.0.0.11,48016,34725888
1733267829.2071733,1733267880.0781317,10.0.0.18,10.0.0.9,35890,4714496
1733267829.5853696,1733267884.8621817,10.0.0.19,10.0.0.13,57518,3026944
1733267828.7754548,1733267895.3242872,10.0.0.1,10.0.0.10,53066,7280640
1733267828.7994514,1733267885.589311,10.0.0.1,10.0.0.15,50708,5188608
1733267828.7991488,1733267894.9875932,10.0.0.1,10.0.0.18,33064,7730176
1733267828.768437,1733267892.0443,10.0.0.1,10.0.0.6,53474,43375616
1733267828.6577344,1733267878.9821312,10.0.0.20,10.0.0.4,45670,54577152
1733267829.5644023,1733267885.859385,10.0.0.20,10.0.0.7,41806,3197952
1733267830.0354037,1733267882.9711766,10.0.0.2,10.0.0.11,45200,20624384
1733267828.9468322,1733267881.0761323,10.0.0.2,10.0.0.15,50014,3693568
1733267829.0954423,1733267892.1790674,10.0.0.2,10.0.0.3,58282,7120896
1733267829.1735256,1733267885.440928,10.0.0.3,10.0.0.1,36684,1963008
1733267828.4757707,1733267878.6782577,10.0.0.3,10.0.0.7,50642,42917888
1733267829.3738434,1733267880.8243876,10.0.0.4,10.0.0.1,56164,2489344
1733267829.0014403,1733267880.7282262,10.0.0.5,10.0.0.1,42494,39068672
1733267829.207055,1733267881.6176572,10.0.0.6,10.0.0.15,56164,3748864
1733267828.4760942,1733267878.8915513,10.0.0.7,10.0.0.3,46564,46002176
1733267829.441097,1733267885.4367375,10.0.0.7,10.0.0.8,60014,2945024
1733267828.5172932,1733267879.3327537,10.0.0.8,10.0.0.16,39990,68248576
