start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733278193.1803317,1733278244.2703636,10.0.0.10,10.0.0.7,38240,5207040
1733278193.1534784,1733278244.2581089,10.0.0.10,10.0.0.8,34602,62238720
1733278193.1481402,1733278244.1544857,10.0.0.1,10.0.0.10,59570,30471168
1733278193.1899529,1733278244.739356,10.0.0.1,10.0.0.6,40930,17153024
1733278193.141661,1733278244.7079306,10.0.0.1,10.0.0.6,40936,17204224
1733278193.1562402,1733278244.5511913,10.0.0.2,10.0.0.5,33106,45076480
1733278193.1269646,1733278244.9107194,10.0.0.2,10.0.0.9,53080,9864192
1733278193.20511,1733278245.286154,10.0.0.3,10.0.0.10,48436,17398784
1733278192.9974716,1733278244.6712515,10.0.0.3,10.0.0.2,50178,47653888
1733278193.2310264,1733278244.7248688,10.0.0.4,10.0.0.1,51680,4439040
1733278193.3482866,1733278244.6627448,10.0.0.4,10.0.0.6,57952,29419520
1733278193.1531408,1733278246.2198033,10.0.0.5,10.0.0.2,60688,2800640
1733278192.8344,1733278245.6584225,10.0.0.5,10.0.0.3,36802,39418880
1733278193.0284388,1733278245.4556606,10.0.0.5,10.0.0.4,39070,37920768
1733278193.0286603,1733278246.219717,10.0.0.5,10.0.0.4,39078,1986560
1733278192.9048874,1733278246.1127381,10.0.0.5,10.0.0.7,50726,1207296
1733278192.9476452,1733278246.175791,10.0.0.5,10.0.0.7,50738,1223680
1733278193.0942178,1733278244.5216942,10.0.0.6,10.0.0.1,57894,62345216
1733278193.3455644,1733278245.4083323,10.0.0.6,10.0.0.5,54402,6953984
1733278193.1651247,1733278244.7116826,10.0.0.6,10.0.0.8,34840,6562816
1733278192.7539246,1733278244.3069985,10.0.0.7,10.0.0.9,42676,53739520
1733278193.140732,1733278244.5183349,10.0.0.8,10.0.0.3,43034,10830848
1733278192.996207,1733278244.5687752,10.0.0.9,10.0.0.1,34320,2440192
1733278192.9982715,1733278244.6776042,10.0.0.9,10.0.0.1,34322,2502656
1733278192.73428,1733278243.9274752,10.0.0.9,10.0.0.7,56980,64774144
