start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733277967.1390727,1733278017.9042165,10.0.0.10,10.0.0.2,51338,27091968
1733277966.899411,1733278017.6134586,10.0.0.1,10.0.0.7,51074,18280448
1733277966.8573606,1733278017.3256183,10.0.0.1,10.0.0.7,51090,29736960
1733277967.0565894,1733278018.0245023,10.0.0.2,10.0.0.1,42424,13091840
1733277967.1198113,1733278017.927716,10.0.0.2,10.0.0.5,57686,51081216
1733277967.275077,1733278019.124879,10.0.0.3,10.0.0.1,36942,7212032
1733277967.2708743,1733278019.2764652,10.0.0.3,10.0.0.7,40086,7310336
1733277967.2400486,1733278018.9833293,10.0.0.3,10.0.0.7,40090,7142400
1733277966.8211577,1733278018.9407609,10.0.0.4,10.0.0.3,40522,69787648
1733277966.873716,1733278019.0509062,10.0.0.4,10.0.0.3,40528,3380224
1733277966.8953595,1733278019.0260055,10.0.0.4,10.0.0.3,40538,3292160
1733277966.972484,1733278017.9600153,10.0.0.5,10.0.0.7,58826,10909696
1733277967.1196551,1733278018.137842,10.0.0.5,10.0.0.9,38106,60652544
1733277967.2669811,1733278018.9976113,10.0.0.6,10.0.0.10,34342,39979008
1733277966.8601649,1733278017.8274899,10.0.0.7,10.0.0.1,43390,48788480
1733277966.8826752,1733278017.898378,10.0.0.7,10.0.0.4,60570,23813120
1733277967.36872,1733278018.5814502,10.0.0.8,10.0.0.10,44848,5923840
1733277967.2707696,1733278018.3084567,10.0.0.8,10.0.0.1,42816,4590592
1733277966.9524066,1733278017.7684946,10.0.0.8,10.0.0.2,34148,36765696
1733277967.3435316,1733278018.5623207,10.0.0.8,10.0.0.4,42476,5974016
1733277967.3016608,1733278018.0625381,10.0.0.8,10.0.0.5,33976,5734400
1733277967.1197212,1733278018.5524786,10.0.0.8,10.0.0.9,40542,16489472
1733277967.07152,1733278019.4003854,10.0.0.9,10.0.0.2,47854,10487808
1733277967.2659655,1733278019.2573967,10.0.0.9,10.0.0.3,51516,7046144
1733277967.1485386,1733278019.5132182,10.0.0.9,10.0.0.4,44272,15594496
