start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733278078.9723852,1733278129.707715,10.0.0.10,10.0.0.3,42204,12575744
1733278078.7332475,1733278129.2203903,10.0.0.10,10.0.0.4,57584,25972736
1733278079.1029367,1733278129.991356,10.0.0.10,10.0.0.5,48920,3335168
1733278079.0253124,1733278129.3379345,10.0.0.1,10.0.0.3,51466,9289728
1733278078.6819947,1733278129.2975743,10.0.0.1,10.0.0.4,54614,7026688
1733278079.1702902,1733278129.9945776,10.0.0.1,10.0.0.5,37534,2669568
1733278078.770418,1733278129.1792433,10.0.0.1,10.0.0.7,56032,50697216
1733278079.0266802,1733278129.4205103,10.0.0.1,10.0.0.8,39290,9204736
1733278079.0573165,1733278129.8092897,10.0.0.2,10.0.0.10,57134,11618304
1733278078.463613,1733278129.3870573,10.0.0.2,10.0.0.5,56514,67206144
1733278078.6683502,1733278129.2447226,10.0.0.3,10.0.0.2,58560,35049472
1733278078.9745462,1733278129.8955321,10.0.0.3,10.0.0.5,58554,3086336
1733278078.980255,1733278130.0362027,10.0.0.4,10.0.0.5,44326,3338240
1733278078.5829525,1733278129.4216511,10.0.0.4,10.0.0.8,43636,69853184
1733278078.9396188,1733278129.7574255,10.0.0.5,10.0.0.3,42664,14932992
1733278078.9556308,1733278129.9945073,10.0.0.5,10.0.0.9,60808,19934208
1733278078.742996,1733278129.2007987,10.0.0.6,10.0.0.4,47148,17500160
1733278079.3392594,1733278129.9906728,10.0.0.6,10.0.0.5,59336,3353600
1733278079.2880337,1733278129.8482723,10.0.0.6,10.0.0.5,59350,3330048
1733278078.7708957,1733278129.1818423,10.0.0.7,10.0.0.3,50132,28632064
1733278078.9001772,1733278129.271559,10.0.0.7,10.0.0.4,57572,15414272
1733278078.5876513,1733278129.9737072,10.0.0.8,10.0.0.4,32950,11097088
1733278078.9966779,1733278129.53683,10.0.0.8,10.0.0.9,33648,18596864
1733278079.0366488,1733278129.4828231,10.0.0.8,10.0.0.9,33650,18978816
1733278078.553911,1733278128.9157786,10.0.0.9,10.0.0.2,51680,32157696
