start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733266855.3411458,1733266906.5069125,10.0.0.10,10.0.0.15,42264,33390592
1733266855.2921357,1733266930.7437818,10.0.0.11,10.0.0.16,53868,1543168
1733266855.314058,1733266906.2259936,10.0.0.12,10.0.0.17,60940,68451328
1733266855.3244424,1733266928.3602955,10.0.0.14,10.0.0.4,59394,8701952
1733266855.3467948,1733266930.2465615,10.0.0.16,10.0.0.15,49522,815104
1733266855.3484936,1733266935.9408987,10.0.0.16,10.0.0.15,49524,1171456
1733266855.0496984,1733266905.6407802,10.0.0.16,10.0.0.20,41248,84254720
1733266855.3708549,1733266932.1634343,10.0.0.18,10.0.0.5,45212,1551360
1733266855.5912974,1733266936.119628,10.0.0.1,10.0.0.10,46830,1199104
1733266855.7645388,1733266906.9748456,10.0.0.1,10.0.0.4,43720,49727488
1733266855.377706,1733266906.0378535,10.0.0.2,10.0.0.19,36228,30884864
1733266855.3532536,1733266975.9661603,10.0.0.2,10.0.0.4,33760,21724160
1733266855.3424304,1733266931.8203185,10.0.0.4,10.0.0.10,48722,860160
1733266855.3426816,1733266910.3819132,10.0.0.4,10.0.0.11,34204,63078400
1733266855.3092127,1733266926.538614,10.0.0.4,10.0.0.15,41832,11737088
1733266855.3698592,1733266926.7562373,10.0.0.6,10.0.0.5,34790,1316864
1733266855.375569,1733266905.8908184,10.0.0.7,10.0.0.14,36542,65514496
1733266855.3786852,1733266915.7121546,10.0.0.8,10.0.0.18,37546,40820736
1733266855.378873,1733266914.6929538,10.0.0.8,10.0.0.18,37550,12741632
1733266855.3791378,1733266931.7149522,10.0.0.8,10.0.0.19,53264,852992
