start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733270450.234677,1733270519.8556454,10.0.0.10,10.0.0.13,46642,2054144
1733270451.8168266,1733270518.906582,10.0.0.10,10.0.0.17,45580,1915904
1733270448.7052975,1733270506.1663496,10.0.0.10,10.0.0.19,55140,2300928
1733270449.724298,1733270508.209225,10.0.0.10,10.0.0.20,41726,3099648
1733270447.801431,1733270507.7143612,10.0.0.10,10.0.0.7,47466,5328896
1733270448.7761562,1733270502.8415775,10.0.0.11,10.0.0.10,46206,2743296
1733270450.7934697,1733270520.777867,10.0.0.11,10.0.0.12,38610,582656
1733270450.7584708,1733270511.6629333,10.0.0.11,10.0.0.20,40554,549888
1733270448.7944753,1733270505.492197,10.0.0.11,10.0.0.2,46236,2398208
1733270449.02734,1733270523.9836318,10.0.0.12,10.0.0.11,51116,642048
1733270449.0492446,1733270522.5742192,10.0.0.12,10.0.0.11,51122,568320
1733270448.18626,1733270507.7254176,10.0.0.12,10.0.0.13,47394,1943552
1733270449.5261278,1733270525.106408,10.0.0.12,10.0.0.15,56852,1611776
1733270449.6895804,1733270514.6303473,10.0.0.12,10.0.0.17,60076,2607104
1733270449.393135,1733270499.2152686,10.0.0.12,10.0.0.18,33720,829440
1733270448.0740757,1733270508.1521006,10.0.0.12,10.0.0.1,36184,1625088
1733270449.1941323,1733270506.802924,10.0.0.12,10.0.0.1,36198,1554432
1733270446.954165,1733270499.0393393,10.0.0.12,10.0.0.20,46124,22231040
1733270447.1757436,1733270498.8799503,10.0.0.12,10.0.0.20,46126,22100992
1733270447.4710202,1733270523.9252234,10.0.0.12,10.0.0.3,35370,1010688
1733270447.5054474,1733270522.9467554,10.0.0.12,10.0.0.3,35376,1035264
1733270446.9770796,1733270501.5378861,10.0.0.12,10.0.0.4,35384,3022848
1733270446.974065,1733270501.4699929,10.0.0.12,10.0.0.4,35396,3054592
1733270447.324565,1733270501.4698358,10.0.0.12,10.0.0.4,35408,2758656
1733270447.7429845,1733270509.142251,10.0.0.12,10.0.0.5,51380,2947072
1733270448.280144,1733270509.313544,10.0.0.12,10.0.0.5,51388,2837504
1733270449.9491134,1733270514.128434,10.0.0.12,10.0.0.6,56286,779264
1733270449.9077268,1733270514.6690269,10.0.0.12,10.0.0.6,56288,838656
1733270449.5272896,1733270520.3344731,10.0.0.12,10.0.0.7,55066,521216
1733270447.558711,1733270510.6626601,10.0.0.12,10.0.0.9,53364,2168832
1733270449.54095,1733270516.8518274,10.0.0.13,10.0.0.10,58698,678912
1733270450.8980148,1733270516.9376898,10.0.0.13,10.0.0.10,58710,687104
1733270448.9545236,1733270513.849586,10.0.0.13,10.0.0.11,47076,2112512
1733270448.0556896,1733270506.362231,10.0.0.13,10.0.0.12,57150,5309440
1733270447.8418136,1733270505.7964537,10.0.0.13,10.0.0.12,57164,5235712
1733270448.3170276,1733270510.1181521,10.0.0.13,10.0.0.15,42056,1201152
1733270448.082497,1733270505.4796846,10.0.0.13,10.0.0.20,33884,24013824
1733270451.0493066,1733270517.3087673,10.0.0.13,10.0.0.2,46974,752640
1733270448.7025142,1733270503.7945955,10.0.0.13,10.0.0.4,54134,25988096
1733270448.7276607,1733270501.864264,10.0.0.13,10.0.0.5,53292,8762368
1733270446.9784431,1733270498.5033247,10.0.0.14,10.0.0.10,57048,50908160
1733270448.5546114,1733270505.7082121,10.0.0.14,10.0.0.15,51992,1355776
1733270450.059415,1733270512.4987164,10.0.0.14,10.0.0.16,40754,607232
1733270446.9537852,1733270499.1696591,10.0.0.14,10.0.0.18,53548,2610176
1733270448.285074,1733270507.1347966,10.0.0.14,10.0.0.19,35366,1527808
1733270450.0590992,1733270520.53665,10.0.0.14,10.0.0.1,43302,726016
1733270450.951163,1733270520.7225437,10.0.0.14,10.0.0.1,43306,824320
1733270450.9734452,1733270520.7694464,10.0.0.14,10.0.0.1,43318,736256
1733270449.9414494,1733270510.6715696,10.0.0.14,10.0.0.20,48540,871424
1733270447.2207432,1733270499.1489782,10.0.0.14,10.0.0.2,35148,3427328
1733270446.9621444,1733270498.9279568,10.0.0.14,10.0.0.6,52192,28080128
1733270448.7213912,1733270504.4030921,10.0.0.14,10.0.0.7,38524,1114112
1733270447.8273108,1733270499.314739,10.0.0.15,10.0.0.11,48038,47907840
1733270451.5369027,1733270516.2479885,10.0.0.15,10.0.0.12,55406,558080
1733270447.8984075,1733270511.6272225,10.0.0.15,10.0.0.16,33746,742400
1733270447.8899415,1733270500.201554,10.0.0.15,10.0.0.19,36750,40166400
1733270448.012473,1733270503.9788687,10.0.0.15,10.0.0.6,48848,872448
1733270448.0327892,1733270503.6823142,10.0.0.15,10.0.0.6,48852,820224
1733270452.4517763,1733270524.9874039,10.0.0.16,10.0.0.10,34760,6915072
1733270447.43019,1733270499.5676448,10.0.0.16,10.0.0.12,35392,13207552
1733270448.2953796,1733270521.6598308,10.0.0.16,10.0.0.15,54854,541696
1733270448.7824857,1733270515.3373117,10.0.0.16,10.0.0.17,47056,4463616
1733270449.3885932,1733270514.3371723,10.0.0.16,10.0.0.19,36242,421888
1733270448.0559208,1733270508.5632658,10.0.0.16,10.0.0.5,59826,1914880
1733270448.7123356,1733270516.3124456,10.0.0.16,10.0.0.6,33240,891904
1733270451.2917852,1733270524.6635225,10.0.0.16,10.0.0.7,35310,876544
1733270448.1265807,1733270506.1310554,10.0.0.16,10.0.0.9,34102,42001408
1733270454.731179,1733270506.9207835,10.0.0.17,10.0.0.10,56096,1360896
1733270448.7212052,1733270499.6810362,10.0.0.17,10.0.0.13,40212,51954688
1733270451.2866902,1733270516.984896,10.0.0.17,10.0.0.14,46622,783360
1733270449.1511528,1733270516.1593049,10.0.0.17,10.0.0.14,46624,758784
1733270448.7641578,1733270516.1391008,10.0.0.17,10.0.0.18,35760,462848
1733270448.7780704,1733270516.8849163,10.0.0.17,10.0.0.18,35772,513024
1733270448.0328956,1733270511.4086986,10.0.0.17,10.0.0.3,55604,718848
1733270448.0446792,1733270510.0548036,10.0.0.17,10.0.0.3,55608,594944
1733270448.7601628,1733270499.5485299,10.0.0.18,10.0.0.10,41464,12644352
1733270448.4037166,1733270505.8431814,10.0.0.18,10.0.0.11,47806,2373632
1733270447.8979447,1733270507.5090537,10.0.0.18,10.0.0.15,60216,3357696
1733270448.0388758,1733270506.720158,10.0.0.18,10.0.0.15,60222,3145728
1733270450.0518725,1733270514.0857053,10.0.0.18,10.0.0.16,33834,849920
1733270448.7779179,1733270517.922658,10.0.0.18,10.0.0.1,40052,983040
1733270450.6544123,1733270518.681473,10.0.0.18,10.0.0.1,40060,1009664
1733270446.954242,1733270499.3734791,10.0.0.18,10.0.0.6,58488,48272384
1733270447.8409748,1733270506.047556,10.0.0.18,10.0.0.7,58714,3790848
1733270451.2446575,1733270527.264981,10.0.0.18,10.0.0.8,51918,6149120
1733270448.9548295,1733270510.098336,10.0.0.19,10.0.0.17,46240,1778688
1733270448.8474176,1733270524.2241337,10.0.0.19,10.0.0.20,42002,909312
1733270447.7171984,1733270505.543333,10.0.0.19,10.0.0.2,43468,3014656
1733270446.9235885,1733270499.4036846,10.0.0.19,10.0.0.3,49260,57678848
1733270450.829163,1733270514.9743102,10.0.0.19,10.0.0.9,45476,465920
1733270448.1437383,1733270512.4368093,10.0.0.1,10.0.0.11,52230,649216
1733270447.7405522,1733270506.1409795,10.0.0.1,10.0.0.12,33174,1951744
1733270448.4420068,1733270505.1191757,10.0.0.1,10.0.0.12,33182,1666048
1733270448.052072,1733270511.836815,10.0.0.1,10.0.0.15,55802,569344
