start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733270745.1619027,1733270797.109456,10.0.0.13,10.0.0.8,48268,2336768
1733270740.468455,1733270792.6733499,10.0.0.13,10.0.0.9,44078,51853312
1733270741.8802931,1733270804.1335342,10.0.0.14,10.0.0.11,40934,540672
1733270740.2764254,1733270819.551328,10.0.0.14,10.0.0.12,53014,5064704
1733270741.724173,1733270810.046334,10.0.0.14,10.0.0.15,54286,4895744
1733270740.41628,1733270820.8676336,10.0.0.14,10.0.0.17,50924,6228992
1733270739.6068132,1733270794.8085647,10.0.0.14,10.0.0.18,34124,30862336
1733270741.2008014,1733270804.8271446,10.0.0.14,10.0.0.19,58268,1371136
1733270742.1053076,1733270798.3240254,10.0.0.14,10.0.0.2,60368,21229568
1733270741.28496,1733270797.6214404,10.0.0.14,10.0.0.2,60378,17680384
1733270740.3926036,1733270803.4063237,10.0.0.14,10.0.0.3,34964,1161216
1733270741.555166,1733270803.4264958,10.0.0.14,10.0.0.3,35462,1079296
1733270742.3123672,1733270833.77615,10.0.0.14,10.0.0.4,54438,2376704
1733270742.504159,1733270802.8049772,10.0.0.14,10.0.0.7,40072,1157120
1733270740.9249346,1733270799.5812705,10.0.0.14,10.0.0.8,50302,7388160
1733270742.481004,1733270807.4691417,10.0.0.15,10.0.0.13,45052,624640
1733270740.5285394,1733270804.8806403,10.0.0.15,10.0.0.17,58860,787456
1733270742.692199,1733270805.1651359,10.0.0.15,10.0.0.17,59376,623616
1733270741.4939635,1733270805.8140194,10.0.0.15,10.0.0.18,36146,1068032
1733270741.1108766,1733270805.7276504,10.0.0.15,10.0.0.1,38014,544768
1733270741.1927824,1733270805.0412688,10.0.0.15,10.0.0.1,38022,522240
1733270743.7634237,1733270805.3096607,10.0.0.15,10.0.0.20,58290,858112
1733270744.4897044,1733270801.6569285,10.0.0.15,10.0.0.2,54758,384000
1733270741.686363,1733270807.2140234,10.0.0.15,10.0.0.4,37406,647168
1733270741.0943837,1733270807.5471647,10.0.0.15,10.0.0.4,45572,676864
1733270740.9731097,1733270802.8597755,10.0.0.15,10.0.0.4,45584,585728
1733270741.928316,1733270805.1591935,10.0.0.15,10.0.0.6,45036,19346432
1733270739.455683,1733270791.9411144,10.0.0.15,10.0.0.7,46722,62579712
