start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733277015.3581235,1733277067.2053158,10.0.0.10,10.0.0.2,60444,55631872
1733277015.4025395,1733277067.4216456,10.0.0.10,10.0.0.5,49944,2790400
1733277015.8949528,1733277068.01704,10.0.0.10,10.0.0.9,55594,26253312
1733277015.6865232,1733277069.620254,10.0.0.1,10.0.0.3,57782,18891776
1733277015.6164699,1733277069.6942105,10.0.0.1,10.0.0.3,57788,19351552
1733277015.470334,1733277069.5602677,10.0.0.1,10.0.0.9,60042,16083968
1733277015.566513,1733277068.81576,10.0.0.3,10.0.0.2,42332,2519040
1733277015.434861,1733277066.696756,10.0.0.3,10.0.0.7,50316,70907904
1733277015.9317305,1733277067.1569383,10.0.0.4,10.0.0.1,48062,5437440
1733277015.987675,1733277066.7438962,10.0.0.4,10.0.0.5,33348,11104256
1733277015.614944,1733277067.116376,10.0.0.4,10.0.0.6,53486,6392832
1733277015.7565165,1733277066.9512734,10.0.0.5,10.0.0.6,47736,37320704
1733277015.8257127,1733277067.1405313,10.0.0.5,10.0.0.8,53544,13251584
1733277015.8449411,1733277068.555352,10.0.0.6,10.0.0.2,57934,2633728
1733277015.8264513,1733277069.3857877,10.0.0.6,10.0.0.3,42766,2734080
1733277015.5893161,1733277068.9327374,10.0.0.6,10.0.0.4,49448,3356672
1733277015.616823,1733277068.5006,10.0.0.6,10.0.0.8,50376,65826816
1733277015.4190054,1733277066.9306707,10.0.0.7,10.0.0.1,41366,74406912
1733277015.5288403,1733277067.1572514,10.0.0.7,10.0.0.5,38840,4865024
1733277015.7802505,1733277067.2946863,10.0.0.8,10.0.0.10,47392,28261376
1733277015.6805067,1733277066.8217647,10.0.0.8,10.0.0.6,48126,20771840
1733277015.5915856,1733277067.409247,10.0.0.8,10.0.0.7,58596,6735872
1733277015.7542048,1733277069.3993614,10.0.0.8,10.0.0.9,55892,12146688
1733277015.7603364,1733277068.8720102,10.0.0.9,10.0.0.2,40952,2704384
1733277015.77139,1733277068.8757644,10.0.0.9,10.0.0.2,40964,2660352
