start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733276837.2155614,1733276888.70479,10.0.0.10,10.0.0.1,33950,2938880
1733276837.2166474,1733276888.6952176,10.0.0.10,10.0.0.1,33966,2913280
1733276837.0035512,1733276888.2024007,10.0.0.10,10.0.0.4,40986,71545856
1733276837.0282629,1733276889.961843,10.0.0.10,10.0.0.6,34272,1424384
1733276837.0283902,1733276890.0626178,10.0.0.10,10.0.0.6,34276,1487872
1733276836.900054,1733276887.9277272,10.0.0.1,10.0.0.2,44888,6888448
1733276836.7693808,1733276888.4145644,10.0.0.1,10.0.0.3,36686,68521984
1733276837.4438465,1733276891.8396773,10.0.0.3,10.0.0.8,38640,10520576
1733276837.0211964,1733276887.8317657,10.0.0.4,10.0.0.1,54780,20492288
1733276836.6720214,1733276889.8644807,10.0.0.4,10.0.0.6,36328,26693632
1733276837.4044602,1733276893.9842,10.0.0.4,10.0.0.8,32902,13970432
1733276837.0902908,1733276890.0569205,10.0.0.5,10.0.0.2,49654,63624192
1733276837.123675,1733276890.1055772,10.0.0.5,10.0.0.6,51498,3506176
1733276837.1239836,1733276890.2595568,10.0.0.5,10.0.0.6,51512,3721216
1733276837.1459854,1733276890.0095878,10.0.0.5,10.0.0.8,57696,2650112
1733276837.0638194,1733276889.4590237,10.0.0.6,10.0.0.10,45168,12488704
1733276837.262157,1733276888.563979,10.0.0.6,10.0.0.7,58764,4342784
1733276837.118863,1733276887.6800795,10.0.0.6,10.0.0.9,46916,47291392
1733276836.819583,1733276891.841821,10.0.0.7,10.0.0.8,50392,28122112
1733276837.02766,1733276889.3505616,10.0.0.8,10.0.0.1,59568,3982336
1733276837.028452,1733276889.48252,10.0.0.8,10.0.0.1,59580,4407296
1733276836.7673583,1733276898.9385853,10.0.0.8,10.0.0.7,34072,61173760
1733276837.3940098,1733276889.1683762,10.0.0.9,10.0.0.10,35970,26595328
1733276837.053875,1733276888.4227006,10.0.0.9,10.0.0.3,41400,12438528
1733276837.4044967,1733276888.4743605,10.0.0.9,10.0.0.7,35520,6279168
